SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,Comment,NOTE
1,WR,R,252133789,SOSP,5810,3,A,9,M,C,9,6,0,3,1,0,0,2,0,64,22.2,300,6/13/19,73,BLCA,3,F,
1,WR,R,252133807,SOSP,5810,3,A,B,F,B,9,6,2,0,1,0,0,1,0,60,20.2,300,6/13/19,74,BLCA,4,F,
1,WR,R,252133741,SOSP,5810,3,A,C,M,C,9,6,0,2,2,0,0,2,0,68,23,300,6/13/19,74,BLCA,4,F,
1,WR,R,252133787,SOSP,5810,3,A,C,M,C,9,6,0,3,2,0,0,2,1,68,19.7,300,6/13/19,82,BLCA,1,F,
0,WR,R,252053977,WEWP,,3,A,9,U,9,9,6,0,0,1,0,0,1,0,999,12.4,300,6/13/19,95,BLCA,2,F,
1,WR,R,252133770,SOSP,5810,3,A,9,M,C,9,9,0,3,1,0,0,2,1,64,20.7,300,6/13/19,102,BLCA,5,F,
3,WR,N,105301152,WISN,,3,A,9,U,9,9,9,0,0,1,0,0,2,0,125,103.3,300,6/13/18,102,BLCA,1,F,
1B,WR,N,190123022,RBSA,,3,A,9,U,9,9,9,1,0,1,0,0,1,1,112,48.8,300,6/13/18,105,BLCA,8,F,
1B,WR,N,190123023,RBSA,4030,2,J,P,U,9,9,9,0,0,0,2,F,1,0,116,42.5,300,8/16/18,123,BLCA,5,F,
1B,WR,N,190123024,WETA,,2,J,9,M,H,9,9,0,0,1,1,0,1,0,94,31.6,300,8/22/18,80,BLCA,6,F,
1B,WR,N,190123025,RBSA,4030,2,J,P,U,9,9,9,0,0,2,3,F,1,0,113,43.8,300,8/22/18,94,BLCA,5,F,
1B,WR,N,190123026,GWCS,5550,3,A,9,U,9,9,9,0,0,1,0,0,1,0,73,23.9,300,9/19/18,91,BLCA,10,F,
1B,WR,N,190123027,GWCS,5550,3,A,9,U,9,9,9,0,0,1,0,0,1,0,76,24.2,300,9/19/18,93,BLCA,9,F,
1B,WR,N,190123028,GWCS,5550,3,A,9,F,W,9,9,0,0,2,0,0,1,0,72,23.1,300,9/19/18,93,BLCA,9,F,
1B,WR,N,190123029,GWCS,5550,3,A,9,U,9,9,9,0,0,2,0,0,2,0,77,24.7,300,9/19/18,113,BLCA,7,F,
1B,WR,N,190123030,GWCS,5550,3,A,9,U,9,9,9,0,0,2,0,0,1,0,73,23.2,300,9/27/18,102,BLCA,9,F,
1B,WR,N,190123031,GWCS,5550,3,A,9,U,9,9,9,0,0,1,0,0,1,0,72,21.8,300,9/27/18,103,BLCA,9,F,
1B,WR,N,190123032,GWCS,5550,3,A,9,U,9,9,9,0,0,2,0,0,2,0,77,20.9,300,9/27/18,110,BLCA,9,F,
